time,close,high,low,open,volumefrom,volumeto,Date,Time,volume,marketcap,price_delta
2023-02-19 13:00:00,24682.03,24715.82,24682.03,24707.39,903.97,22335943.28,2023-02-19,13:00:00,22335039.310000002,551296422115.2584,
2023-02-19 14:00:00,24765.79,24792.85,24679.21,24682.03,1220.29,30203001.55,2023-02-19,14:00:00,30201781.26,748001193756.9745,83.76000000000204
2023-02-19 15:00:00,24928.21,25022.49,24751.96,24765.79,5074.5,126308456.75,2023-02-19,15:00:00,126303382.25,3148643734639.9175,162.41999999999825
2023-02-19 16:00:00,24786.44,25175.28,24704.53,24928.21,7094.72,177067107.46,2023-02-19,16:00:00,177060012.74,4388863235030.8423,-141.77000000000044
2023-02-19 17:00:00,24364.95,24806.64,24346.17,24786.44,6896.84,169337904.01,2023-02-19,17:00:00,169331007.17,4125909564308.449,-421.48999999999796
2023-02-19 18:00:00,24471.94,24526.89,24326.04,24364.95,2888.75,70562596.22,2023-02-19,18:00:00,70559707.47,1726803620940.0667,106.98999999999796
2023-02-19 19:00:00,24525.12,24563.59,24464.78,24471.94,1117.9,27427302.44,2023-02-19,19:00:00,27426184.540000003,672657883617.2928,53.18000000000029
2023-02-19 20:00:00,24518.32,24534.07,24300.89,24525.12,3060.98,74736601.09,2023-02-19,20:00:00,74733540.11,1832415901236.9688,-6.799999999999272
2023-02-19 21:00:00,24544.62,24577.84,24494.05,24518.32,1439.69,35321778.82,2023-02-19,21:00:00,35320339.13,866959638860.9484,26.299999999999272
2023-02-19 22:00:00,24497.11,24567.1,24463.08,24544.62,921.63,22594075.91,2023-02-19,22:00:00,22593154.28,553489562915.6201,-47.5099999999984
2023-02-19 23:00:00,24287.53,24497.82,24253.13,24497.11,3204.27,78111206.89,2023-02-19,23:00:00,78108002.62,1897128280677.0815,-209.58000000000175
2023-02-20 00:00:00,24218.04,24403.8,24191.73,24287.53,3520.85,85629318.78,2023-02-20,00:00:00,85625797.93,2073774267386.7913,-69.48999999999796
2023-02-20 01:00:00,24244.92,24295.33,23873.19,24218.04,5383.38,129640551.43,2023-02-20,01:00:00,129635168.05000001,3143124798176.2354,26.87999999999738
2023-02-20 02:00:00,24353.34,24379.36,24174.88,24244.92,2088.99,50739545.36,2023-02-20,02:00:00,50737456.37,1235677399597.5024,108.42000000000189
2023-02-20 03:00:00,24422.02,24471.22,24330.83,24353.34,1465.07,35758155.89,2023-02-20,03:00:00,35756690.82,873286398308.6979,68.68000000000029
2023-02-20 04:00:00,24489.56,24547.74,24412.76,24422.02,1553.39,38036225.51,2023-02-20,04:00:00,38034672.12,931490426800.6757,67.54000000000087
2023-02-20 05:00:00,24498.57,24510.97,24433.19,24489.56,793.87,19427212.18,2023-02-20,05:00:00,19426418.31,475938917496.5826,9.0099999999984
2023-02-20 06:00:00,24508.53,24531.31,24434.44,24498.57,911.0,22307861.53,2023-02-20,06:00:00,22306950.53,546732893543.8509,9.959999999999127
2023-02-20 07:00:00,24507.11,24536.1,24459.81,24508.53,932.23,22839433.28,2023-02-20,07:00:00,22838501.05,559728503730.6208,-1.4199999999982538
2023-02-20 08:00:00,24458.15,24554.63,24415.25,24507.11,1079.16,26422539.12,2023-02-20,08:00:00,26421459.96,646246425177.828,-48.95999999999913
2023-02-20 09:00:00,24889.82,24935.66,24393.96,24458.15,3571.97,88284007.2,2023-02-20,09:00:00,88280435.23,2197373048086.704,431.66999999999825
2023-02-20 10:00:00,24912.58,24965.19,24781.11,24889.82,3744.07,93154269.6,2023-02-20,10:00:00,93150525.53,2320713193751.568,22.760000000002037
2023-02-20 11:00:00,24884.79,24950.71,24768.93,24912.58,2791.18,69411811.29,2023-02-20,11:00:00,69409020.11,1727298347471.2793,-27.790000000000873
2023-02-20 12:00:00,24823.31,24910.65,24733.69,24884.79,2187.13,54288671.8,2023-02-20,12:00:00,54286484.669999994,1347624529579.658,-61.47999999999956
2023-02-20 13:00:00,24859.89,24923.18,24817.35,24823.31,1809.56,45000303.6,2023-02-20,13:00:00,44998494.04,1118702597462.604,36.57999999999811
2023-02-20 14:00:00,24981.85,25098.8,24804.17,24859.89,4526.84,112905926.4,2023-02-20,14:00:00,112901399.56,2820598917435.84,121.95999999999913
2023-02-20 15:00:00,24944.32,25063.24,24876.8,24981.85,3759.47,93889817.06,2023-02-20,15:00:00,93886057.59,2342017641486.099,-37.529999999998836
2023-02-20 16:00:00,24877.55,24950.67,24678.32,24944.32,4682.26,116193301.04,2023-02-20,16:00:00,116188618.78,2890604656287.652,-66.77000000000044
2023-02-20 17:00:00,24813.41,24903.34,24782.5,24877.55,2060.22,51165288.25,2023-02-20,17:00:00,51163228.03,1269585275115.4324,-64.13999999999942
2023-02-20 18:00:00,24821.45,24837.18,24763.95,24813.41,1515.03,37564193.33,2023-02-20,18:00:00,37562678.3,932397746530.9285,8.040000000000873
