time,close,high,low,open,volumefrom,volumeto
2023-02-19 13:00:00,24682.03,24715.82,24682.03,24707.39,903.97,22335943.28
2023-02-19 14:00:00,24765.79,24792.85,24679.21,24682.03,1220.29,30203001.55
2023-02-19 15:00:00,24928.21,25022.49,24751.96,24765.79,5074.5,126308456.75
2023-02-19 16:00:00,24786.44,25175.28,24704.53,24928.21,7094.72,177067107.46
2023-02-19 17:00:00,24364.95,24806.64,24346.17,24786.44,6896.84,169337904.01
2023-02-19 18:00:00,24471.94,24526.89,24326.04,24364.95,2888.75,70562596.22
2023-02-19 19:00:00,24525.12,24563.59,24464.78,24471.94,1117.9,27427302.44
2023-02-19 20:00:00,24518.32,24534.07,24300.89,24525.12,3060.98,74736601.09
2023-02-19 21:00:00,24544.62,24577.84,24494.05,24518.32,1439.69,35321778.82
2023-02-19 22:00:00,24497.11,24567.1,24463.08,24544.62,921.63,22594075.91
2023-02-19 23:00:00,24287.53,24497.82,24253.13,24497.11,3204.27,78111206.89
2023-02-20 00:00:00,24218.04,24403.8,24191.73,24287.53,3520.85,85629318.78
2023-02-20 01:00:00,24244.92,24295.33,23873.19,24218.04,5383.38,129640551.43
2023-02-20 02:00:00,24353.34,24379.36,24174.88,24244.92,2088.99,50739545.36
2023-02-20 03:00:00,24422.02,24471.22,24330.83,24353.34,1465.07,35758155.89
2023-02-20 04:00:00,24489.56,24547.74,24412.76,24422.02,1553.39,38036225.51
2023-02-20 05:00:00,24498.57,24510.97,24433.19,24489.56,793.87,19427212.18
2023-02-20 06:00:00,24508.53,24531.31,24434.44,24498.57,911.0,22307861.53
2023-02-20 07:00:00,24507.11,24536.1,24459.81,24508.53,932.23,22839433.28
2023-02-20 08:00:00,24458.15,24554.63,24415.25,24507.11,1079.16,26422539.12
2023-02-20 09:00:00,24889.82,24935.66,24393.96,24458.15,3571.97,88284007.2
2023-02-20 10:00:00,24912.58,24965.19,24781.11,24889.82,3744.07,93154269.6
2023-02-20 11:00:00,24884.79,24950.71,24768.93,24912.58,2791.18,69411811.29
2023-02-20 12:00:00,24823.31,24910.65,24733.69,24884.79,2187.13,54288671.8
2023-02-20 13:00:00,24859.89,24923.18,24817.35,24823.31,1809.56,45000303.6
2023-02-20 14:00:00,24981.85,25098.8,24804.17,24859.89,4526.84,112905926.4
2023-02-20 15:00:00,24944.32,25063.24,24876.8,24981.85,3759.47,93889817.06
2023-02-20 16:00:00,24877.55,24950.67,24678.32,24944.32,4682.26,116193301.04
2023-02-20 17:00:00,24813.41,24903.34,24782.5,24877.55,2060.22,51165288.25
2023-02-20 18:00:00,24821.45,24837.18,24763.95,24813.41,1515.03,37564193.33
2023-02-20 19:00:00,24875.7,24883.86,24812.16,24821.45,1107.44,27521316.63
2023-02-20 20:00:00,24807.59,24881.25,24775.65,24875.7,1549.92,38474927.28
2023-02-20 21:00:00,24771.84,24822.99,24763.74,24807.59,893.58,22150370.12
2023-02-20 22:00:00,24702.97,24779.13,24682.28,24771.84,1376.19,34021275.17
2023-02-20 23:00:00,24838.09,24840.24,24700.87,24702.97,1093.33,27098344.78
2023-02-21 00:00:00,24860.46,24932.25,24788.1,24838.09,1494.27,37146701.14
2023-02-21 01:00:00,24869.92,24929.09,24807.31,24860.46,1443.45,35881261.11
2023-02-21 02:00:00,24910.94,25092.9,24862.13,24869.92,3047.57,76147891.15
2023-02-21 03:00:00,24925.08,25009.23,24857.95,24910.94,2031.97,50673681.94
2023-02-21 04:00:00,24900.25,24943.2,24859.3,24925.08,947.77,23596283.17
2023-02-21 05:00:00,24950.19,24956.71,24878.98,24900.25,838.45,20890509.01
2023-02-21 06:00:00,25029.15,25037.1,24930.95,24950.19,1110.86,27744623.67
2023-02-21 07:00:00,24999.67,25047.45,24947.34,25029.15,1495.44,37383645.5
2023-02-21 08:00:00,24689.97,25216.35,24650.29,24999.67,7982.13,199103578.19
2023-02-21 09:00:00,24807.4,24832.13,24590.72,24689.97,4130.39,102107644.87
2023-02-21 10:00:00,24703.66,24807.62,24685.63,24807.4,1647.54,40755879.03
2023-02-21 11:00:00,24574.15,24750.03,24570.36,24703.66,2644.45,65230776.31
2023-02-21 12:00:00,24638.34,24660.34,24513.54,24574.15,2951.84,72577611.02
2023-02-21 13:00:00,24566.09,24694.58,24529.13,24638.34,2495.82,61448431.01
2023-02-21 14:00:00,24681.49,24773.75,24555.05,24566.09,3272.77,80762588.49
2023-02-21 15:00:00,24560.73,24716.72,24435.73,24681.49,5163.58,126808675.46
2023-02-21 16:00:00,24406.57,24583.45,24297.02,24560.73,5823.5,142132247.35
2023-02-21 17:00:00,24648.15,24650.85,24382.58,24406.57,3130.88,76656972.24
2023-02-21 18:00:00,24693.33,24745.51,24574.15,24648.15,3898.89,96149541.08
2023-02-21 19:00:00,24602.99,24694.44,24566.56,24693.33,2455.67,60491142.57
2023-02-21 20:00:00,24465.16,24633.78,24440.64,24602.99,2341.33,57391603.4
2023-02-21 21:00:00,24192.86,24532.25,24168.6,24465.16,4727.23,114815962.66
2023-02-21 22:00:00,24387.45,24423.13,24173.88,24192.86,2315.56,56277097.38
2023-02-21 23:00:00,24450.5,24450.96,24348.65,24387.45,1546.25,37713719.38
2023-02-22 00:00:00,24413.52,24471.79,24278.34,24450.5,2268.61,55333000.52
2023-02-22 01:00:00,24188.51,24433.2,24151.8,24413.52,3338.3,81110558.39
2023-02-22 02:00:00,24171.23,24193.53,23886.5,24188.51,5594.46,134611099.84
2023-02-22 03:00:00,24209.71,24264.98,24137.84,24171.23,1912.37,46288343.35
2023-02-22 04:00:00,24162.26,24222.57,24040.02,24209.71,2194.36,52936404.83
2023-02-22 05:00:00,24103.92,24168.7,24016.44,24162.26,2229.78,53671852.79
2023-02-22 06:00:00,23952.89,24127.55,23940.55,24103.92,2663.2,63945598.99
2023-02-22 07:00:00,24067.29,24093.85,23942.63,23952.89,2325.45,55881066.03
2023-02-22 08:00:00,23971.64,24069.11,23878.9,24067.29,2690.68,64477106.05
2023-02-22 09:00:00,24108.76,24161.2,23953.76,23971.64,2739.07,65878203.34
2023-02-22 10:00:00,24185.37,24198.37,24092.58,24108.76,1136.46,27438040.53
2023-02-22 11:00:00,24163.13,24202.74,24055.49,24185.37,2240.45,54049004.83
2023-02-22 12:00:00,24136.35,24229.2,24101.51,24163.13,1503.6,36352395.21
2023-02-22 13:00:00,24115.2,24143.02,23984.94,24136.35,2215.96,53351314.62
2023-02-22 14:00:00,23940.04,24121.18,23937.46,24115.2,3552.07,85299212.28
2023-02-22 15:00:00,23729.27,23995.08,23658.45,23940.04,8010.07,190563497.51
2023-02-22 16:00:00,23639.25,23763.17,23597.76,23729.27,3996.31,94623734.06
2023-02-22 17:00:00,23746.56,23775.56,23601.67,23639.25,2283.84,54104943.29
2023-02-22 18:00:00,23748.49,23831.53,23730.52,23746.56,2064.56,49116880.16
2023-02-22 19:00:00,23799.04,23962.95,23685.63,23748.49,6821.57,162479552.97
2023-02-22 20:00:00,23792.22,23873.94,23745.48,23799.04,2517.74,59932973.24
2023-02-22 21:00:00,23804.3,23845.61,23751.17,23792.22,1559.51,37108891.87
2023-02-22 22:00:00,24099.28,24100.69,23790.62,23804.3,2260.85,54205578.77
2023-02-22 23:00:00,24186.92,24210.89,24095.55,24099.28,3109.43,75130279.68
